l1510051	16/10/2015	08:00:02.80	43.02 N	0.18 W	0	1.4
l1510052	16/10/2015	17:13:27.20	43.03 N	0.18 W	0	0.8
l1510026	17/10/2015	04:14:20.20	42.87 N	0.08 W	9	1.0
l1510032	17/10/2015	06:38:47.40	42.86 N	0.16 W	1	1.4
l1510034	17/10/2015	06:40:25.80	42.04 N	2.55 E	4	0.5
l1510054	17/10/2015	06:57:16.20	42.91 N	0.12 W	7	1.0
l1510056	17/10/2015	16:10:11.60	42.29 N	1.21 E	17	-0.5
l1510057	17/10/2015	18:18:30.90	40.83 N	1.20 E	9	1.1
l1510060	17/10/2015	18:57:40.50	43.02 N	0.09 W	11	0.8
l1510061	17/10/2015	19:56:32.00	42.61 N	0.90 E	0	-0.3
l1510066	18/10/2015	00:19:59.30	42.66 N	0.65 E	4	0.2
l1510067	18/10/2015	06:12:06.00	42.22 N	1.39 E	0	-0.2
l1510068	18/10/2015	06:23:06.90	40.86 N	1.02 E	15	0.8
l1510069	18/10/2015	10:35:33.40	43.04 N	0.25 W	0	1.0
l1510070	18/10/2015	11:26:15.90	42.38 N	1.93 E	8	0.3
l1510071	18/10/2015	15:48:45.70	40.92 N	0.96 E	7	1.1
l1510036	18/10/2015	22:10:19.10	40.90 N	1.00 E	5	1.2
l1510038	18/10/2015	22:24:23.00	43.04 N	0.22 W	0	2.0
l1510041	19/10/2015	00:16:27.50	42.36 N	2.10 E	6	0.2
l1510048	19/10/2015	00:46:18.50	42.30 N	2.23 E	7	0.6
l1510082	19/10/2015	14:54:18.70	42.49 N	1.03 E	5	-0.5
l1510131	21/10/2015	00:01:19.40	43.02 N	-0.00 E	6	1.0
l1510127	21/10/2015	19:05:23.70	42.68 N	0.60 E	5	0.8
l1510151	22/10/2015	13:05:17.00	42.55 N	1.13 E	14	-0.5
l1510152	22/10/2015	16:49:08.80	42.77 N	2.13 E	8	0.6
l1510156	22/10/2015	20:08:10.20	42.65 N	0.73 E	10	0.4
l1510146	22/10/2015	22:50:15.50	42.71 N	0.12 E	0	1.5
l1510176	24/10/2015	01:28:50.30	41.91 N	2.09 E	15	0.4
l1510196	24/10/2015	11:00:31.00	42.57 N	1.06 E	2	-0.1
l1510201	25/10/2015	00:01:55.70	41.82 N	2.64 E	8	-0.4
l1510202	25/10/2015	00:27:34.70	42.53 N	0.98 E	7	-0.6
l1510186	25/10/2015	13:24:28.60	43.01 N	-0.00 E	3	2.0
l1510192	26/10/2015	04:10:39.40	40.55 N	0.14 E	8	2.0
l1510221	26/10/2015	16:07:48.60	42.19 N	2.12 E	3	0.2
l1510222	26/10/2015	19:25:28.20	41.78 N	2.76 E	9	0.5
l1510232	27/10/2015	15:50:36.10	42.68 N	2.24 E	9	1.0
l1510306	28/10/2015	06:04:06.10	42.62 N	0.65 E	8	0.2
l1510312	28/10/2015	22:29:36.60	42.71 N	2.11 E	10	0.5
l1510266	29/10/2015	00:37:47.60	42.18 N	3.17 E	9	4.3
l1510271	29/10/2015	00:51:12.70	42.18 N	3.17 E	6	1.1
l1510296	29/10/2015	00:52:06.90	42.17 N	3.17 E	5	0.6
l1510272	29/10/2015	02:00:05.20	42.18 N	3.20 E	11	0.7
l1510273	29/10/2015	04:34:24.90	42.18 N	3.17 E	9	1.2
l1510326	29/10/2015	23:04:24.70	42.18 N	3.18 E	7	1.4
l1510332	30/10/2015	04:15:10.00	42.18 N	3.17 E	5	1.8
l1510337	30/10/2015	07:17:23.90	42.18 N	3.17 E	5	1.7
l1510466	30/10/2015	08:34:33.00	42.18 N	3.18 E	5	0.6
l1510467	31/10/2015	03:47:28.40	42.62 N	0.89 E	12	0.5
l1510468	31/10/2015	03:50:18.80	42.71 N	1.07 E	11	-0.0
l1510471	31/10/2015	04:04:04.40	41.99 N	2.56 E	4	-0.3
l1510441	31/10/2015	20:18:01.10	42.18 N	3.17 E	6	1.0
